id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Oda;Medhurst;Misty94@yahoo.com;um dreamer hector;2024-01-29T17:48:20;14837;25923
2;Alyson;Sanford;Godfrey_Rice@gmail.com;ounce;2024-01-29T09:19:27;22884;11440
3;Gisselle;Emard;Justice.Pfannerstill@hotmail.com;into gradient;2024-01-29T21:49:03;17871;21320
4;Heidi;VonRueden;Antonetta_Bradtke@gmail.com;badly;2024-01-29T02:31:26;15516;27325
5;Jeromy;Orn;Thalia_Jaskolski46@hotmail.com;triumphantly;2024-01-29T19:14:18;6917;26738
6;Joany;Lakin;Aleen89@gmail.com;unlike;2024-01-29T13:10:18;24996;26054
7;Eleanore;Cummings;Jackson94@hotmail.com;remortgage debut;2024-01-29T21:15:01;480;7990
8;Mason;Barrows;Talia.Gleason38@hotmail.com;and acquire;2024-01-29T18:51:19;25891;22733
9;Nickolas;Schuster;Earnest78@hotmail.com;considering canst;2024-01-29T23:57:13;13024;20205
10;Braden;Keebler;Lonny.Anderson@yahoo.com;whose;2024-01-29T11:40:25;13479;13155
